filename,entity_name,total_revenue,page_number,is_consolidated,status
Alameda_County_Transportation_Commission_Report.pdf,Alameda_County_Transportation_Commission_Report,633397474.0,33,No,success
Amador_Tuolumne_Community_Action_Agency_Report.pdf,Amador_Tuolumne_Community_Action_Agency_Report,1322932641.0,16,No,success
Bay_Area_Air_Quality_Management_District_Report.pdf,Bay_Area_Air_Quality_Management_District_Report,260322583.0,12,No,success
Beach_Cities_Health_District_Report.pdf,Beach_Cities_Health_District_Report,15299852.0,113,No,success
Contra_Costa_Transportation_Authority_Report.pdf,Contra_Costa_Transportation_Authority_Report,137110252.0,127,No,success
Desert_Recreation_District_Report.pdf,Desert_Recreation_District_Report,18289065.0,10,No,success
First_5_Yolo_Children_and_Families_Commission_Report.pdf,First_5_Yolo_Children_and_Families_Commission_Report,5135761.0,22,No,success
Golden_Sierra_Job_Training_Agency_Report.pdf,Golden_Sierra_Job_Training_Agency_Report,7824280.0,35,No,success
Los_Angeles_Homeless_Services_Authority_Report.pdf,Los_Angeles_Homeless_Services_Authority_Report,730006630.0,10,No,success
Menlo_Park_Fire_Protection_District_Report.pdf,Menlo_Park_Fire_Protection_District_Report,93019357.0,56,No,success
Metropolitan_Transportation_Commission_Report.pdf,Metropolitan_Transportation_Commission_Report,1623352.0,22,No,success
Napa_Valley_Transportation_Authority_Report.pdf,Napa_Valley_Transportation_Authority_Report,29512100.0,66,Yes,success
North_Central_Fire_Protection_District_Report.pdf,North_Central_Fire_Protection_District_Report,14317749.0,17,No,success
Orange_County_Fire_Authority_Report.pdf,Orange_County_Fire_Authority_Report,341557593.0,179,Yes,success
Orange_County_Transportation_Authority_Report.pdf,Orange_County_Transportation_Authority_Report,,,No,success
Riverside_County_Transportation_Commission_Report.pdf,Riverside_County_Transportation_Commission_Report,1474610098.0,42,Yes,success
Sacramento_Metropolitan_Air_Quality_Management_District_Report.pdf,Sacramento_Metropolitan_Air_Quality_Management_District_Report,107500542.0,55,No,success
Sacramento_Metropolitan_Fire_District_Report.pdf,Sacramento_Metropolitan_Fire_District_Report,309870176.0,56,No,success
Santa_Clara_Valley_Water_District_Report.pdf,Santa_Clara_Valley_Water_District_Report,556122.0,30,No,success
San_Bernardino_County_Transportation_Authority_Report.pdf,San_Bernardino_County_Transportation_Authority_Report,25180.0,75,No,success
San_Francisco_County_Transportation_Authority_Report.pdf,San_Francisco_County_Transportation_Authority_Report,173458377.0,43,No,success
San_Joaquin_Regional_Rail_Commission_Report.pdf,San_Joaquin_Regional_Rail_Commission_Report,,,No,success
San_Joaquin_Valley_Unified_Air_Pollution_Control_District_Report.pdf,San_Joaquin_Valley_Unified_Air_Pollution_Control_District_Report,951984266.0,50,No,success
Sites_Project_Authority_Report.pdf,Sites_Project_Authority_Report,38640480.0,28,No,success
Solano_Transportation_Authority_Report.pdf,Solano_Transportation_Authority_Report,68578263.0,88,No,success
Sonoma_County_Transportation_Authority_Report.pdf,Sonoma_County_Transportation_Authority_Report,44511980.0,10,No,success
Sonoma_County_Water_Agency_Report.pdf,Sonoma_County_Water_Agency_Report,39761242.0,64,Yes,success
Sonoma_Resource_Conservation_District_Report.pdf,Sonoma_Resource_Conservation_District_Report,100884445.0,50,No,success
South_Coast_Air_Quality_Management_District_Report.pdf,South_Coast_Air_Quality_Management_District_Report,1371879374.0,37,No,success
Transportation_Authority_of_Marin_Report.pdf,Transportation_Authority_of_Marin_Report,44792903.0,80,No,success
Ventura_County_Transportation_Commission_Report.pdf,Ventura_County_Transportation_Commission_Report,21270405.0,117,No,success
Western_Riverside_County_Regional_Conservation_Authority_Report.pdf,Western_Riverside_County_Regional_Conservation_Authority_Report,,,No,success
